"SlNo","Device","partKind","partStart","partDur"
"1","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 03:09:46.206,1008.40699982643
"2","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 03:27:46.384,829.681999921799
"3","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 03:41:50.569,344.318000078201
"4","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 04:11:21.548,558.135999917984
"5","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 04:30:55.999,293.09299993515
"6","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 04:40:19.645,473.548000097275
"7","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 04:50:53.065,268.508999824524
"8","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 05:33:14.842,223.414999961853
"9","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 05:41:54.049,301.275000095367
"10","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 05:48:54.203,1941.00900006294
"11","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 06:22:12.677,305.401999950409
"12","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 06:27:50.907,227.519000053406
"13","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 06:32:23.539,151.763000011444
"14","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 06:35:54.987,262.356000185013
"15","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 06:45:26.930,174.206000089645
"16","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 07:38:38.196,348.444999933243
"17","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 07:45:15.829,174.177999973297
"18","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 07:48:26.417,200.861999988556
"19","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 07:58:06.653,174.228999853134
"20","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 08:05:10.131,176.342000007629
"21","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 08:08:06.473,176.283999919891
"22","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 08:11:02.756,174.207999944687
"23","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 08:16:20.654,174.201999902725
"24","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 08:21:01.618,174.210999965668
"25","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 08:25:26.598,174.235000133514
"26","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 08:29:32.776,174.207000017166
"27","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 08:38:17.476,174.211999893188
"28","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 08:42:23.457,174.236000061035
"29","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 08:46:46.046,190.623000144958
"30","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 08:50:11.009,202.90499997139
"31","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 08:53:42.137,241.852999925613
"32","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 08:57:52.183,172.188999891281
"33","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 09:00:50.516,186.500999927521
"34","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 09:04:07.282,256.197000026703
"35","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 09:08:29.627,563.661999940872
"36","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 09:22:58.948,174.212000131607
"37","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 09:26:01.438,176.280000209808
"38","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 09:28:57.719,188.544999837875
"39","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 09:34:37.032,174.207000017166
"40","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 09:51:41.802,176.27799987793
"41","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 09:54:38.079,176.285000085831
"42","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 09:57:36.413,176.34099984169
"43","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:00:32.753,176.370000123978
"44","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:03:29.124,176.31200003624
"45","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:06:25.436,176.284999847412
"46","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:09:21.720,176.351000070572
"47","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:12:20.109,176.256000041962
"48","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:15:16.365,176.28400015831
"49","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:18:14.697,174.212000131607
"50","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:21:10.957,174.271000146866
"51","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:24:07.266,176.3140001297
"52","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:27:03.581,176.259999990463
"53","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:29:59.841,176.27899980545
"54","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:32:58.168,176.31200003624
"55","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:35:54.480,176.31299996376
"56","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:38:50.793,176.257000207901
"57","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:41:47.051,176.283999919891
"58","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:44:45.381,174.207999944687
"59","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:47:41.667,174.322000026703
"60","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:53:40.697,248.024999856949
"61","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 10:58:01.009,170.112999916077
"62","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:00:57.269,703.055999994278
"63","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:12:48.516,170.115000009537
"64","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:15:44.778,190.619999885559
"65","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:19:03.592,207.02999997139
"66","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:22:36.766,233.663000106812
"67","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:26:36.573,219.323000192642
"68","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:30:22.046,184.47200012207
"69","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:33:34.710,172.158999919891
"70","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:36:33.019,188.569000005722
"71","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:39:49.786,209.078000068665
"72","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:43:25.009,578.009999990463
"73","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 12:11:07.321,176.284999847412
"74","acutec_QT250-M301_781d8d","1762",2014-11-05 12:56:02.618,174.210999965668
"75","acutec_QT250-M301_781d8d","1762",2014-11-05 13:20:12.381,172.183000087738
"76","acutec_QT250-M301_781d8d","1762",2014-11-05 14:13:56.470,168.0640001297
